name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,144,213434908,,-76.5008420,42.4544830,,,,,
,145,213435583,,-76.4841820,42.4368150,,,,,
,146,213435581,,-76.4848680,42.4364770,,,,,
,147,213435680,,-76.4883400,42.4375490,,,,,
,148,213435693,,-76.4885120,42.4386770,,,,,
,149,213435745,,-76.5076624,42.4264539,,,,,
,150,213435749,,-76.5078014,42.4283755,,,,,
,151,213435754,,-76.5082667,42.4282160,,,,,
,152,213435759,signal,-76.5081261,42.4284429,,,,,
,153,213435850,,-76.4700014,42.4308692,,,,,
,154,213435851,,-76.4709472,42.4322657,,,,,
,155,5423555291,,-76.4696261,42.4300935,,,,,
,156,213435839,,-76.4695696,42.4294931,,,,,
,157,213435893,,-76.4743190,42.4377674,,,,,
,158,213435964,,-76.4802280,42.4746980,,,,,
,159,213435972,,-76.4800500,42.4736330,,,,,
,160,213436277,,-76.4633421,42.4696454,,,,,
,161,213436285,,-76.4646040,42.4698150,,,,,
,162,213436370,,-76.4954970,42.4296340,,,,,
,163,213436422,,-76.4924205,42.4304675,,,,,
,164,213436357,,-76.4952694,42.4292277,,,,,
,165,213436621,,-76.4757850,42.4433350,,,,,
,166,213437111,,-76.4762785,42.4432509,,,,,
,167,213437439,,-76.4744552,42.4377684,,,,,
,168,213437404,,-76.4650480,42.4364620,,,,,
,169,213437430,,-76.4725263,42.4377000,,,,,
,170,213420855,,-76.4858492,42.4373944,,,,,
,171,213437491,signal,-76.4860903,42.4372732,,,,,
,172,213437503,,-76.4850390,42.4376511,,,,,
,173,213437571,,-76.5219990,42.4408620,,,,,
,174,213437584,,-76.5226863,42.4407142,,,,,
,175,213437593,,-76.4681386,42.4587821,,,,,
,176,213437654,,-76.4583220,42.4614840,,,,,
,177,213437814,,-76.4956168,42.4198171,,,,,
,178,2035040177,,-76.4940090,42.4203717,,,,,
,179,2035040160,,-76.4956158,42.4199656,,,,,
,180,213438401,,-76.4878750,42.4957350,,,,,
,181,213438409,,-76.4853670,42.4957720,,,,,
,182,213438431,,-76.4810220,42.4971390,,,,,
,183,213438434,,-76.4810927,42.4983649,,,,,
,184,213439241,,-76.5058520,42.4433090,,,,,
,185,213439243,,-76.5059080,42.4444015,,,,,
,186,5251072135,,-76.5058050,42.4424000,,,,,
,187,213439237,,-76.5057370,42.4411080,,,,,
,188,213439372,,-76.4916716,42.4731580,,,,,
,189,213439418,,-76.4945816,42.4742371,,,,,
,190,213439581,,-76.4809750,42.4191690,,,,,
,191,213439579,,-76.4809090,42.4191830,,,,,
,192,213439699,,-76.4814560,42.4187300,,,,,
,193,213440020,,-76.4886080,42.4407020,,,,,
,194,213440021,,-76.4886520,42.4416020,,,,,
,195,213440382,,-76.4838584,42.4234401,,,,,
,196,213440400,,-76.4824818,42.4226443,,,,,
,197,213440505,,-76.4876681,42.4491205,,,,,
,198,5285957653,,-76.4873598,42.4463634,,,,,
,199,213440523,,-76.4877308,42.4496017,,,,,
,200,5286485294,,-76.4876755,42.4491774,,,,,
,201,213440542,,-76.4875958,42.4446998,,,,,
,202,213440534,,-76.4875776,42.4439153,,,,,
,203,213440840,signal,-76.4989731,42.4386355,,,,,
,204,6903081262,,-76.4976434,42.4386710,,,,,
,205,213440872,,-76.4967967,42.4369407,,,,,
,206,213440846,,-76.4988218,42.4352106,,,,,
,207,213440879,,-76.4833570,42.4604340,,,,,
,208,213440884,,-76.4832150,42.4598230,,,,,
,209,213440890,,-76.4832400,42.4597240,,,,,
