  density,   flow,      speed,      queue
   0.00000,  34.91338,  60.00417,  -0.00000
  -0.00000,  36.10093,  60.00482,  -0.00000
  -0.00000,  42.60128,  60.00409,  -0.00000
  -0.00000,  49.58945,  60.00235,  -0.00000
  -0.00000,  52.84988,  60.00045,  -0.00000
   0.00000,  48.63720,  59.99939,  -0.00000
  -0.00000,  41.07684,  59.99964,  -0.00000
  -0.00000,  34.11188,  60.00053,  -0.00000
  -0.00000,  30.23098,  60.00139,  -0.00000
  -0.00000,  35.49871,  60.00093,  -0.00000
  -0.00000,  42.79206,  59.99970,  -0.00000
  -0.00000,  45.57600,  59.99842,  -0.00000
  -0.00000,  42.83757,  59.99788,  -0.00000
  -0.00000,  36.86359,  59.99782,  -0.00000
  -0.00000,  30.73019,  59.99784,  -0.00000
  -0.00000,  29.36107,  59.99733,  -0.00000
   0.00000,  31.04177,  59.99674,  -0.00000
   0.00000,  34.20814,  59.99726,  -0.00000
   0.00000,  33.46847,  59.99821,  -0.00000
  -0.00000,  32.51000,  59.99948,  -0.00000
  -0.00000,  38.32485,  59.99999,  -0.00000
  -0.00000,  44.87155,  59.99984,  -0.00000
  -0.00000,  52.94474,  59.99907,  -0.00000
  -0.00000,  58.63538,  59.99835,  -0.00000
  -0.00000,  57.80398,  59.99842,  -0.00000
  -0.00000,  54.65646,  59.99930,  -0.00000
  -0.00000,  56.12582,  60.00042,  -0.00000
  -0.00000,  60.14522,  60.00067,  -0.00000
  -0.00000,  67.69472,  59.99989,  -0.00000
  -0.00000,  72.30440,  59.99889,  -0.00000
  -0.00000,  69.61292,  59.99835,  -0.00000
  -0.00000,  60.84721,  59.99881,  -0.00000
  -0.00000,  48.72372,  59.99989,  -0.00000
  -0.00000,  41.67011,  60.00101,  -0.00000
  -0.00000,  39.85473,  60.00162,  -0.00000
  -0.00000,  39.81264,  60.00228,  -0.00000
  -0.00000,  41.90908,  60.00263,  -0.00000
  -0.00000,  42.49847,  60.00311,  -0.00000
  -0.00000,  44.37602,  60.00335,  -0.00000
  -0.00000,  45.90340,  60.00335,  -0.00000
  -0.00000,  49.65994,  60.00244,  -0.00000
  -0.00000,  52.78687,  60.00129,  -0.00000
   0.00000,  52.55516,  60.00021,  -0.00000
   0.00000,  48.97792,  60.00024,  -0.00000
   0.00000,  45.69050,  60.00152,  -0.00000
  -0.00000,  44.07722,  60.00269,  -0.00000
  -0.00000,  47.66537,  60.00308,  -0.00000
  -0.00000,  54.37552,  60.00239,  -0.00000
  -0.00000,  58.69259,  60.00137,  -0.00000
  -0.00000,  56.52227,  60.00095,  -0.00000
   0.00000,  47.74517,  60.00142,  -0.00000
  -0.00000,  40.46329,  60.00253,  -0.00000
   0.00000,  37.39710,  60.00319,  -0.00000
   0.00000,  38.67476,  60.00351,  -0.00000
   0.00000,  43.17144,  60.00278,  -0.00000
   0.00000,  45.68739,  60.00218,  -0.00000
  -0.00000,  46.25841,  60.00190,  -0.00000
  -0.00000,  42.88271,  60.00214,  -0.00000
  -0.00000,  41.44323,  60.00210,  -0.00000
